split,split_filename,config_i,context,dropout,ensemble_size,features,learning_rate,merge_method,n_hidden,n_units,residual_depth,data,cache,labels,structure_column,epochs,batch_size,val_data,rmse,pearson_r,spearman_rho,model_class,n_parameters
test,data/train/test/data.csv,118,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.5634781122207642,0.690962875856866,0.6988224758002207,bilinear-fp,319011
training,data/train/train/data.csv,119,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2373456954956055,0.7529325151800175,0.7262635153184894,bilinear-fp,322323
validation,data/train/validation/data.csv,119,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.3125003576278687,0.6914545601750425,0.5451850910387893,bilinear-fp,322323
test,data/train/test/data.csv,119,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.437395691871643,0.7126999857978399,0.7036835684055791,bilinear-fp,322323
training,data/train/train/data.csv,11,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8431342840194702,0.19730692325246244,0.18054827985377842,bilinear-fp,203427
validation,data/train/validation/data.csv,11,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4825127124786377,0.3474863391231432,0.37888312217162456,bilinear-fp,203427
test,data/train/test/data.csv,11,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0142180919647217,0.2419439505012991,0.22710040012063307,bilinear-fp,203427
training,data/train/train/data.csv,120,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9815112352371216,0.8533717972349628,0.8371564227763275,bilinear-fp,1694091
validation,data/train/validation/data.csv,120,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.17804753780365,0.7740268911711335,0.6199514567011905,bilinear-fp,1694091
test,data/train/test/data.csv,120,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.163719654083252,0.8240931900430881,0.8152156309539009,bilinear-fp,1694091
training,data/train/train/data.csv,121,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9187164902687073,0.8726088837809872,0.8602393680260715,bilinear-fp,1804299
